Country name,Dystopia + residual,Explained by: Perceptions of corruption,Explained by: Generosity,Explained by: Freedom to make life choices,Explained by: Healthy life expectancy,Explained by: Social support,Explained by: Log GDP per capita,Regional indicator,Score,Rank,xText
Ethiopia,0.488654971,0.026666667,0.056374269,0.105497076,0.077426901,0.158830409,0.086549708,Sub-Saharan Africa,4.275,133,"Ethiopia ( #133, 4.275)"
Mauritania,0.489472439,0.031464396,0.028152354,0.05157322,0.064584812,0.177194228,0.157558552,Sub-Saharan Africa,4.227,134,"Mauritania ( #134, 4.227)"
Madagascar,0.622475647,0.020669993,0.043953433,0.049180328,0.081016869,0.119505821,0.063197909,Sub-Saharan Africa,4.208,135,"Madagascar ( #135, 4.208)"
Togo,0.683223764,0.02605308,0.050888727,0.070367665,0.049427806,0.058193328,0.061845629,Sub-Saharan Africa,4.107,136,"Togo ( #136, 4.107)"
Zambia,0.484781541,0.018163967,0.055719195,0.119538537,0.056701031,0.135493373,0.129602356,Sub-Saharan Africa,4.073,137,"Zambia ( #137, 4.073)"
Sierra Leone,0.622337662,0.012207792,0.063116883,0.105974026,0.025974026,0.097922078,0.072467532,Sub-Saharan Africa,3.849,138,"Sierra Leone ( #138, 3.849)"
India,0.367897355,0.027755957,0.064414768,0.162869861,0.100288034,0.082744174,0.194029851,South Asia,3.819,139,"India ( #139, 3.819)"
Burundi,0.761854305,0.05615894,0.045562914,0.078940397,0.041059603,0.016423841,0,Sub-Saharan Africa,3.775,140,"Burundi ( #140, 3.775)"
Yemen,0.48564397,0.024336888,0.025157233,0.073284113,0.074377905,0.227235439,0.089964452,Middle East and North Africa,3.658,141,"Yemen ( #141, 3.658)"
Tanzania,0.348606128,0.063759315,0.084736406,0.15153188,0.082804306,0.14904775,0.119514215,Sub-Saharan Africa,3.623,142,"Tanzania ( #142, 3.623)"
Haiti,0.570163299,0.038472184,0.128148353,0.071132023,0.062828674,0.047882646,0.08137282,Latin America and Caribbean,3.615,143,"Haiti ( #143, 3.615)"
Malawi,0.608333333,0.037222222,0.059166667,0.134444444,0.082777778,0.046666667,0.031388889,Sub-Saharan Africa,3.6,144,"Malawi ( #144, 3.6)"
Lesotho,0.512528474,0.004271071,0.029328018,0.115318907,0.001993166,0.208143508,0.128416856,Sub-Saharan Africa,3.512,145,"Lesotho ( #145, 3.512)"
Botswana,0.187012987,0.025396825,0.007792208,0.155555556,0.098124098,0.208946609,0.317171717,Sub-Saharan Africa,3.467,146,"Botswana ( #146, 3.467)"
Rwanda,0.320644217,0.144363104,0.066471449,0.183601757,0.119180088,0.059150805,0.10658858,Sub-Saharan Africa,3.415,147,"Rwanda ( #147, 3.415)"
Zimbabwe,0.383147854,0.023847377,0.049920509,0.114149444,0.077265501,0.2063593,0.145310016,Sub-Saharan Africa,3.145,148,"Zimbabwe ( #148, 3.145)"
Afghanistan,0.751089972,0.003963535,0.048355133,0,0.049940547,0,0.146650813,South Asia,2.523,149,"Afghanistan ( #149, 2.523)"
